video_id,tag
vi4flB6clm0iow6IFTbC7emI,Kanishka Rao
vi4jzbO8E3eWXzvCGz7XNI0w,Kanishka Rao
vi6TBTdOQ3bkW2b7ku6xtvbK,Kanishka Rao
vi42vP3lFwcaZP6hH82M5wZE,Kanishka Rao
vi7YPIONLTIkuIc1odaRFv5,Kanishka Rao
vi3MC0JsaO4n4cA7cYgYzpb4,Kanishka Rao
vi1GPAuvhakg74TUpNoMMUvc,Kanishka Rao
vi7hjMrHGRupQnnvk1PmunpJ,William Hayden
vi21tWLEF2GadH1FxBaaUCVv,William Hayden
vi49UjfbiKKovVbnMouFI0b1,William Hayden
vi1f5z7uO9H4uvPWVVIEZ1lZ,AJ Goldstein
vi19hlTAbN1yu25fpWwdZI70,AJ Goldstein
vi5R4N92m3GJC6XbBpmbrDAs,AJ Goldstein
vi6SNXBQZqFi9NfQbksSdZXa,Alex Jekowsky
vi1QUzJA88das5BwWiYGKWhW,Alex Jekowsky
vi1ZzEvSRqDoJNrgLENckg53,Alex Jekowsky
vi45Qkvkz9NNc9sKdfqynpKW,Alex Jekowsky
vi6eCrsMUgVpDJqhSeyZ6ch8,Alex Jekowsky
vi6OP9aIqjerhs3DbADzeLby,Alex Jekowsky
vi1bhvkDLYKjzouEHhFUFLsG,Alex Jekowsky
vi1S4VYb4Cf3Fcts9cADCtbw,Alex Jekowsky
vi18qSrl7wIdeYOKuDg7YQBx,Kanishka Rao
vi6aqbh5ikJLOYkqOdO7TvN1,Kanishka Rao
vi31gHvd0MMz8FonUstjUyMe,Kanishka Rao
vi7ITVcbI2cXqYj2CnwKvSXg,Kanishka Rao
vi5lUKF5SojsvO2eH5MdSXVs,Kanishka Rao
