index,sequence_id,segment_id_sequence_start,segment_id_sequence_end,summary,title,segment_start_timestamp,segment_end_timestamp,segment_start_timestamp_in_seconds,segment_end_timestamp_in_seconds,video_id,activity_type,activity_reasoning,target_person_type,target_person_reasoning,activity,Moment_url
vi4flB6clm0iow6IFTbC7emI_Delegation_1,1,31,41,"Kanishka delegates the responsibility of determining the sales strategy to Bill, emphasizing the need for a services sale approach based on their discussion about market challenges.",Sales Strategy Discussion,18:37.013,21:38.117,1117,1298,vi4flB6clm0iow6IFTbC7emI,Not Delegation,Kanishka Rao is discussing strategies and conclusions but is not delegating tasks to others or receiving tasks from others.,No Delegation,Kanishka Rao is discussing strategies and conclusions but is not delegating tasks to others or receiving tasks from others.,Delegation,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=1117
vi4flB6clm0iow6IFTbC7emI_Delegation_2,2,105,109,"Kanishka expresses the need for more collaborative decision-making, suggesting that Scott and Alex should involve the team in their processes to leverage collective expertise.",Collaborative Decision-Making,55:15.400,59:41.916,3315,3581,vi4flB6clm0iow6IFTbC7emI,Not Delegation,Kanishka Rao is discussing decision-making processes and team dynamics but is not delegating a task or receiving a delegated task.,No Delegation,Kanishka Rao is discussing decision-making processes and team dynamics but is not delegating a task or receiving a delegated task.,Delegation,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=3315
vi4flB6clm0iow6IFTbC7emI_Delegation_3,3,41,41,"Bill suggests that Kanishka should socialize decisions with the team, indicating a transfer of accountability for ensuring team involvement in decision-making.",Socializing Decisions,21:38.285,21:38.117,1298,1298,vi4flB6clm0iow6IFTbC7emI,Not Delegation,Kanishka Rao is expressing an opinion and suggesting a course of action but is not delegating a task or receiving one.,Not Involved,Kanishka Rao is expressing an opinion and suggesting a course of action but is not delegating a task or receiving one.,Delegation,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=1298
vi4flB6clm0iow6IFTbC7emI_Delegation_4,4,78,80,"Kanishka and Bill discuss the need to pivot their focus towards specific market segments, indicating a delegation of strategic direction to Bill.",Market Segment Focus,38:53.796,40:40.156,2333,2440,vi4flB6clm0iow6IFTbC7emI,Not Delegation,Kanishka Rao is contributing to the discussion about strategies and market segments but is not delegating or receiving any tasks.,Not Involved,Kanishka Rao is contributing to the discussion but is not delegating or receiving any tasks.,Delegation,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=2333
vi4flB6clm0iow6IFTbC7emI_Delegation_5,5,1,1,"Kanishka indicates the need for a more structured approach to decision-making, suggesting that Bill should take the lead in establishing this process.",Decision-Making Structure,06:16.920,06:16.140,376,376,vi4flB6clm0iow6IFTbC7emI,Not Delegation,"Kanishka Rao is engaging in a casual greeting with Bill, which does not involve any task assignment or delegation.",Not Involved,Kanishka Rao is not involved in any delegation as the interaction is a greeting and does not indicate task assignment.,Delegation,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=376
vi4flB6clm0iow6IFTbC7emI_Decision Making_1,1,9,41,Kanishka identifies issues in their sales approach and suggests a shift towards selling services instead of technology. Bill agrees and discusses the need for a strategy that aligns with their current capabilities and market demands.,Sales Strategy Discussion,10:20.010,21:38.117,620,1298,vi4flB6clm0iow6IFTbC7emI,Problem or Opportunity Identification,"Kanishka Rao identifies challenges in the sales process related to clinician engagement and executive priorities, highlighting specific issues that need to be addressed for successful sales.",Participating,"Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.",Decision Making,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=620
vi4flB6clm0iow6IFTbC7emI_Decision Making_2,2,78,80,"Kanishka and Bill discuss the need to pivot their focus towards specific market segments, particularly children's hospitals and independent practices, to optimize their sales strategy and improve outcomes.",Market Segment Focus,38:53.796,40:40.156,2333,2440,vi4flB6clm0iow6IFTbC7emI,Problem or Opportunity Identification,"Bill Landi identifies the challenge of balancing priorities between pharma and provider growth, suggesting that attempting to address both simultaneously may lead to failure due to resource constraints.",Participating,Kanishka Rao contributed to the discussion by emphasizing the importance of serving providers and suggesting a strategic approach to decision-making.,Decision Making,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=2333
vi4flB6clm0iow6IFTbC7emI_Decision Making_3,3,101,109,"Kanishka expresses concerns about the decision-making process within the team, emphasizing the need for more collaboration and input from all members to enhance decision quality.",Improving Decision-Making Process,50:16.116,59:41.916,3016,3581,vi4flB6clm0iow6IFTbC7emI,Discussion and Input Gathering,"Kanishka Rao and Bill Landi are actively discussing the need for improved decision-making processes and the importance of collaboration, seeking input on how to enhance transparency and socialization of decisions within the team.",Participating,"Kanishka Rao is actively contributing to the decision-making process by discussing the need for more frequent meetings, emphasizing the importance of collaboration, and advocating for a culture that encourages socializing decisions.",Decision Making,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=3016
vi4flB6clm0iow6IFTbC7emI_Decision Making_4,4,118,118,"Bill suggests discussing the decision-making process in their upcoming leadership meeting, highlighting the importance of socializing decisions and ensuring team involvement.",Leadership Meeting Preparation,01:05:18.185,01:05:16.906,3918,3916,vi4flB6clm0iow6IFTbC7emI,Problem or Opportunity Identification,"Bill Landi identifies a challenge regarding decision-making processes and suggests that it should be a topic of discussion in the leadership meeting, indicating an area that needs attention.",Not Participating,Kanishka Rao is not mentioned or involved in the discussion about decision-making in this segment.,Decision Making,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=3918
vi4flB6clm0iow6IFTbC7emI_Decision Making_5,5,1,132,"Throughout the conversation, Kanishka and Bill engage in a comprehensive dialogue about their sales strategy, decision-making processes, and the need for better collaboration, culminating in a plan to address these issues in future meetings.",Overall Strategy and Collaboration,06:16.920,01:09:21.779,376,4161,vi4flB6clm0iow6IFTbC7emI,Problem or Opportunity Identification,"Kanishka Rao identifies challenges in their sales strategy, specifically highlighting issues with clinician engagement and executive prioritization, which are critical for their solution's success.",Participating,"Kanishka Rao is actively engaged in the decision-making process by discussing the sales strategy, providing insights on market segmentation, and emphasizing the need for team collaboration in decision-making.",Decision Making,https://embed.api.video/vod/vi4flB6clm0iow6IFTbC7emI#;t=376
